PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
E06,236612.651,7644871.832,575.970,9.078,PeM,Plant,515.500,380.000,104.500,33.000,4.900,5.000,1.100,27.000,8.000,34.000,36.300,70.500,51.000,1.000,0.200,4.400,21.000,16.000,117.765
E07,236620.588,7644921.198,576.863,13.549,PeM,Plant,529.000,379.000,92.000,33.000,4.800,7.000,0.900,22.000,6.000,38.000,28.600,66.700,43.000,6.000,0.160,4.800,24.000,21.500,111.730
E08,236628.525,7644970.564,577.833,11.047,PeM,Plant,521.500,368.000,110.500,36.000,4.900,9.000,1.300,26.000,9.000,31.000,36.100,66.900,54.000,5.000,0.170,5.000,24.000,16.500,119.635
E09,236636.462,7645019.930,577.836,7.215,PeM,Plant,524.000,384.000,92.000,28.000,5.000,9.000,4.200,15.000,6.000,31.000,24.500,55.400,44.000,2.000,0.140,4.100,18.000,15.700,113.920
E10,236644.399,7645069.296,577.852,1.275,PeM,Plant,523.000,359.000,118.000,32.000,5.000,9.000,3.000,27.000,8.000,31.000,38.600,69.400,56.000,7.000,0.170,4.000,21.000,14.700,115.025
E11,236652.336,7645118.661,578.476,8.110,PeM,Plant,496.500,403.000,100.500,23.000,5.300,6.000,1.600,20.000,6.000,28.000,27.300,55.000,50.000,24.000,0.160,3.600,16.000,12.500,108.489
E12,236660.273,7645168.027,578.653,9.590,PeM,Plant,479.000,432.000,89.000,25.000,5.300,12.000,1.700,20.000,6.000,31.000,28.000,58.800,48.000,7.000,0.130,5.000,23.000,17.400,104.876
E13,236668.210,7645217.393,579.285,17.429,PeM,Plant,441.500,467.000,91.500,32.000,5.300,9.000,3.300,28.000,6.000,25.000,36.800,61.800,60.000,5.000,0.160,3.500,27.000,21.800,107.256
E14,236676.148,7645266.759,579.621,13.265,PeM,Plant,408.500,531.000,60.500,25.000,4.900,9.000,2.100,18.000,4.000,28.000,24.700,52.500,47.000,20.000,0.100,3.200,25.000,14.300,111.533
E15,236684.085,7645316.125,579.683,8.991,PeM,Plant,435.000,484.000,81.000,25.000,5.000,5.000,4.100,12.000,4.000,25.000,20.600,45.600,45.000,61.000,0.150,3.000,18.000,13.100,100.813
E16,236692.022,7645365.491,578.145,32.491,PeM,Plant,451.500,450.000,98.500,27.000,5.200,9.000,3.700,23.000,5.000,28.000,31.100,58.800,53.000,15.000,0.160,3.900,26.000,15.800,105.447
E17,236699.959,7645414.857,579.692,16.869,PeM,Plant,463.000,430.000,107.000,27.000,5.000,10.000,2.700,21.000,6.000,31.000,29.700,60.500,49.000,12.000,0.160,4.300,25.000,19.200,110.206
E18,236707.896,7645464.223,578.708,11.285,PeM,Plant,435.000,457.000,108.000,33.000,5.100,12.000,1.900,29.000,8.000,25.000,39.600,64.500,61.000,4.000,0.160,5.200,26.000,25.600,101.936
E19,236715.833,7645513.589,579.113,27.179,PeM,Plant,491.500,376.000,132.500,25.000,4.800,8.000,1.600,17.000,5.000,31.000,23.400,54.300,43.000,28.000,0.150,4.400,22.000,16.600,103.448
E20,236723.770,7645562.955,579.271,11.064,PeM,Plant,490.000,388.000,122.000,31.000,5.200,7.000,1.500,23.000,5.000,28.000,30.100,57.800,52.000,11.000,0.140,4.100,22.000,18.400,109.908
F01,236622.331,7644617.065,582.387,9.480,PeM,Plant,390.500,546.000,63.500,34.000,4.800,11.000,0.800,25.000,5.000,31.000,30.400,61.200,50.000,4.000,0.200,3.000,29.000,10.500,116.531
F02,236630.269,7644666.431,581.753,9.142,PeM,Plant,399.000,525.000,76.000,36.000,5.100,11.000,1.700,36.000,7.000,28.000,45.200,73.000,62.000,5.000,0.180,3.100,21.000,14.200,117.116
F03,236638.206,7644715.797,580.935,7.607,PeM,Plant,444.000,473.000,83.000,33.000,4.800,12.000,0.800,23.000,4.000,34.000,28.200,62.500,45.000,8.000,0.220,3.500,25.000,15.600,112.986
F04,236646.143,7644765.163,580.560,11.606,PeM,Plant,457.500,463.000,79.500,34.000,5.000,8.000,0.800,27.000,5.000,34.000,33.100,67.300,49.000,15.000,0.180,3.700,27.000,12.200,110.521
F05,236654.080,7644814.529,580.792,10.575,PeM,Plant,472.500,444.000,83.500,28.000,5.100,10.000,2.200,22.000,7.000,31.000,30.700,61.600,50.000,16.000,0.150,4.100,19.000,11.400,108.657
F06,236662.017,7644863.895,581.370,9.269,PeM,Plant,487.000,412.000,101.000,30.000,5.200,8.000,1.500,33.000,7.000,28.000,41.500,69.200,60.000,2.000,0.150,4.100,15.000,14.700,103.978
F07,236669.954,7644913.261,581.816,10.212,PeM,Plant,499.500,400.000,100.500,35.000,5.200,9.000,1.100,34.000,9.000,28.000,43.800,71.500,61.000,6.000,0.150,4.400,25.000,20.700,104.694
F08,236677.891,7644962.627,582.327,11.538,PeM,Plant,497.500,390.000,112.500,39.000,5.400,9.000,2.800,38.000,10.000,25.000,50.900,75.900,67.000,2.000,0.150,4.500,22.000,18.300,105.992
